event_id,det_id,track_id,xtop,ytop,z,xbot,ybot,StatNb,ViewNb,PlaneNb,LayerNb,StrawNb
17.0,20002202.0,4.0,225.012214055,113.376226925,2781.15,-225.012214055,113.376226925,2.0,0.0,0.0,0.0,202.0
17.0,20102202.0,4.0,225.012214055,112.936226925,2783.75,-225.012214055,112.936226925,2.0,0.0,1.0,0.0,202.0
17.0,21002211.0,4.0,215.608068244,117.314123915,2791.15,-232.703881051,78.0919106281,2.0,1.0,0.0,0.0,211.0
17.0,21102211.0,4.0,215.646416771,116.875798247,2793.75,-232.665532524,77.6535849609,2.0,1.0,1.0,0.0,211.0
17.0,22002193.0,4.0,235.370846779,108.57546839,2801.15,-212.941102516,147.797681676,2.0,2.0,0.0,0.0,193.0
17.0,22012194.0,4.0,235.29937907,107.758588737,2802.25,-213.012570225,146.980802024,2.0,2.0,0.0,1.0,194.0
17.0,22102193.0,4.0,235.332498252,108.137142723,2803.75,-212.979451043,147.359356009,2.0,2.0,1.0,0.0,193.0
17.0,23012202.0,4.0,225.012214055,114.256226925,2812.25,-225.012214055,114.256226925,2.0,3.0,0.0,1.0,202.0
17.0,23112202.0,4.0,225.012214055,113.816226925,2814.85,-225.012214055,113.816226925,2.0,3.0,1.0,1.0,202.0
17.0,30002216.0,4.0,249.9992,132.8,3321.15,-249.9992,132.8,3.0,0.0,0.0,0.0,216.0
17.0,30112216.0,4.0,249.9992,133.24,3324.85,-249.9992,133.24,3.0,0.0,1.0,1.0,216.0
17.0,31002226.0,4.0,238.955242557,137.148212001,3331.15,-259.140512577,93.5704800767,3.0,1.0,0.0,0.0,226.0
17.0,31102226.0,4.0,238.993591084,136.709886334,3333.75,-259.102164051,93.1321544095,3.0,1.0,1.0,0.0,226.0
17.0,31112226.0,4.0,238.91689403,137.586537669,3334.85,-259.178861104,94.0088057439,3.0,1.0,1.0,1.0,226.0
17.0,32012206.0,4.0,262.180504884,128.317751146,3342.25,-235.91525025,171.895483071,3.0,2.0,0.0,1.0,206.0
17.0,32102205.0,4.0,262.213624067,128.696305131,3343.75,-235.882131068,172.274037056,3.0,2.0,1.0,0.0,205.0
17.0,33002215.0,4.0,249.9992,134.5,3351.15,-249.9992,134.5,3.0,3.0,0.0,0.0,215.0
17.0,33102215.0,4.0,249.9992,134.06,3353.75,-249.9992,134.06,3.0,3.0,1.0,0.0,215.0
17.0,33112215.0,4.0,249.9992,134.94,3354.85,-249.9992,134.94,3.0,3.0,1.0,1.0,215.0
17.0,40002210.0,4.0,249.9992,143.0,3521.15,-249.9992,143.0,4.0,0.0,0.0,0.0,210.0
17.0,40102210.0,4.0,249.9992,142.56,3523.75,-249.9992,142.56,4.0,0.0,1.0,0.0,210.0
17.0,41002221.0,4.0,238.214418744,145.615866935,3531.15,-259.881336391,102.03813501,4.0,1.0,0.0,0.0,221.0
17.0,41112221.0,4.0,238.176070217,146.054192602,3534.85,-259.919684918,102.476460678,4.0,1.0,1.0,1.0,221.0
17.0,42002199.0,4.0,263.140961169,139.295816719,3541.15,-234.954793965,182.873548644,4.0,2.0,0.0,0.0,199.0
17.0,42012200.0,4.0,263.06949346,138.478937067,3542.25,-235.026261674,182.056668991,4.0,2.0,0.0,1.0,200.0
17.0,42102199.0,4.0,263.102612643,138.857491052,3543.75,-234.993142492,182.435222977,4.0,2.0,1.0,0.0,199.0
17.0,43012210.0,4.0,249.9992,143.88,3552.25,-249.9992,143.88,4.0,3.0,0.0,1.0,210.0
17.0,43102209.0,4.0,249.9992,144.26,3553.75,-249.9992,144.26,4.0,3.0,1.0,0.0,209.0
17.0,10012247.0,3.0,225.012214055,37.7562269248,2582.25,-225.012214055,37.7562269248,1.0,0.0,0.0,1.0,247.0
17.0,10102246.0,3.0,225.012214055,38.1362269248,2583.75,-225.012214055,38.1362269248,1.0,0.0,1.0,0.0,246.0
17.0,10112247.0,3.0,225.012214055,37.3162269248,2584.85,-225.012214055,37.3162269248,1.0,0.0,1.0,1.0,247.0
17.0,11012246.0,3.0,220.717137884,58.9171907125,2592.25,-227.594811411,19.6949774259,1.0,1.0,0.0,1.0,246.0
17.0,11102245.0,3.0,220.684018702,59.2957446977,2593.75,-227.627930594,20.0735314112,1.0,1.0,1.0,0.0,245.0
17.0,12002248.0,3.0,227.221784832,15.4312641181,2601.15,-221.090164463,54.6534774046,1.0,2.0,0.0,0.0,248.0
17.0,12112248.0,3.0,227.260133359,15.8695897853,2604.85,-221.051815936,55.0918030718,1.0,2.0,1.0,1.0,248.0
17.0,13012247.0,3.0,225.012214055,37.7562269248,2612.25,-225.012214055,37.7562269248,1.0,3.0,0.0,1.0,247.0
17.0,13112247.0,3.0,225.012214055,37.3162269248,2614.85,-225.012214055,37.3162269248,1.0,3.0,1.0,1.0,247.0
17.0,20002247.0,3.0,225.012214055,36.8762269248,2781.15,-225.012214055,36.8762269248,2.0,0.0,0.0,0.0,247.0
17.0,20102247.0,3.0,225.012214055,36.4362269248,2783.75,-225.012214055,36.4362269248,2.0,0.0,1.0,0.0,247.0
17.0,21012246.0,3.0,220.717137884,58.9171907125,2792.25,-227.594811411,19.6949774259,2.0,1.0,0.0,1.0,246.0
17.0,21112246.0,3.0,220.755486411,58.4788650453,2794.85,-227.556462884,19.2566517588,2.0,1.0,1.0,1.0,246.0
17.0,22002249.0,3.0,227.07362007,13.7377331313,2801.15,-221.238329226,52.9599464179,2.0,2.0,0.0,0.0,249.0
17.0,22012249.0,3.0,227.150317123,14.6143844657,2802.25,-221.161632172,53.8365977522,2.0,2.0,0.0,1.0,249.0
17.0,22112249.0,3.0,227.111968596,14.1760587985,2804.85,-221.199980699,53.398272085,2.0,2.0,1.0,1.0,249.0
17.0,23002247.0,3.0,225.012214055,36.8762269248,2811.15,-225.012214055,36.8762269248,2.0,3.0,0.0,0.0,247.0
17.0,23102247.0,3.0,225.012214055,36.4362269248,2813.75,-225.012214055,36.4362269248,2.0,3.0,1.0,0.0,247.0
